"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 17:06:55 GMT 2024","Sun Apr 07 17:06:56 GMT 2024","1773","","Verify Movie Information","","Assert that ‘Planets’ ‘Camino’ is not part of the movie ‘The Phantom Menace’","","Assert that ‘Planets’ ‘Camino’ is not part of the movie ‘The Phantom Menace’",""
"passed","Sun Apr 07 17:06:37 GMT 2024","Sun Apr 07 17:06:50 GMT 2024","13487","","Get the list of movies.","","Get the list of movies and check if the movies count is 6","","Get the list of movies and check if the movies count is 6",""
"passed","Sun Apr 07 17:06:53 GMT 2024","Sun Apr 07 17:06:55 GMT 2024","1925","","Verify Movie Information","","View the movie ‘The Empire Strikes Back’ and check if the ‘Species’ list has ‘Wookie’","","View the movie ‘The Empire Strikes Back’ and check if the ‘Species’ list has ‘Wookie’",""
"passed","Sun Apr 07 17:06:52 GMT 2024","Sun Apr 07 17:06:53 GMT 2024","1142","","Verify Movie Information","","Sort movies by ""Episode"" and assert the last movie in the list is ‘The Phantom Menace’","","Sort movies by ""Episode"" and assert the last movie in the list is ‘The Phantom Menace’",""
"passed","Sun Apr 07 17:06:51 GMT 2024","Sun Apr 07 17:06:52 GMT 2024","1138","","Verify Movie Information","","Sort movies by ""Title"" and assert the last movie in the list is ‘The Phantom Menace’","","Sort movies by ""Title"" and assert the last movie in the list is ‘The Phantom Menace’",""
"passed","Sun Apr 07 17:05:56 GMT 2024","Sun Apr 07 17:06:14 GMT 2024","17405","","Verify directors and producers of the movies","","Get the 3rd movie and check if the director of the movie is ‘Richard Marquand’","","Get the 3rd movie and check if the director of the movie is ‘Richard Marquand’",""
"passed","Sun Apr 07 17:06:14 GMT 2024","Sun Apr 07 17:06:37 GMT 2024","23094","","Verify directors and producers of the movies","","Get the 5th movie and assert that ’Producers’ are not ‘Gary Kurtz, George Lucas'","","Get the 5th movie and assert that ’Producers’ are not ‘Gary Kurtz, George Lucas'",""
