"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 16:32:58 GMT 2024","Thu Mar 28 16:32:59 GMT 2024","1466","","Get the list of movies.","","Get the list of movies and check if the movies count is 6","","Get the list of movies and check if the movies count is 6",""
"passed","Thu Mar 28 16:32:43 GMT 2024","Thu Mar 28 16:32:56 GMT 2024","13130","","Verify directors and producers of the movies","","Get the 3rd movie and check if the director of the movie is ‘Richard Marquand’","","Get the 3rd movie and check if the director of the movie is ‘Richard Marquand’",""
"broken","Thu Mar 28 16:32:59 GMT 2024","Thu Mar 28 16:33:00 GMT 2024","1030","","Verify Movie Information","","Sort movies by ""Title"" and assert the last movie in the list is ‘The Phantom Menace’","","Sort movies by ""Title"" and assert the last movie in the list is ‘The Phantom Menace’",""
"broken","Thu Mar 28 16:33:02 GMT 2024","Thu Mar 28 16:33:02 GMT 2024","779","","Verify Movie Information","","Assert that ‘Planets’ ‘Camino’ is not part of the movie ‘The Phantom Menace’","","Assert that ‘Planets’ ‘Camino’ is not part of the movie ‘The Phantom Menace’",""
"passed","Thu Mar 28 16:32:56 GMT 2024","Thu Mar 28 16:32:58 GMT 2024","1541","","Verify directors and producers of the movies","","Get the 5th movie and assert that ’Producers’ are not ‘Gary Kurtz, George Lucas'","","Get the 5th movie and assert that ’Producers’ are not ‘Gary Kurtz, George Lucas'",""
"broken","Thu Mar 28 16:33:00 GMT 2024","Thu Mar 28 16:33:01 GMT 2024","784","","Verify Movie Information","","Sort movies by ""Episode"" and assert the last movie in the list is ‘The Phantom Menace’","","Sort movies by ""Episode"" and assert the last movie in the list is ‘The Phantom Menace’",""
"broken","Thu Mar 28 16:33:01 GMT 2024","Thu Mar 28 16:33:02 GMT 2024","777","","Verify Movie Information","","View the movie ‘The Empire Strikes Back’ and check if the ‘Species’ list has ‘Wookie’","","View the movie ‘The Empire Strikes Back’ and check if the ‘Species’ list has ‘Wookie’",""
