"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Get the list of movies.","Get the list of movies and check if the movies count is 6","0","0","1","0","0"
"","Verify directors and producers of the movies","Get the 3rd movie and check if the director of the movie is ‘Richard Marquand’","0","0","1","0","0"
"","Verify Movie Information","Sort movies by ""Title"" and assert the last movie in the list is ‘The Phantom Menace’","0","1","0","0","0"
"","Verify Movie Information","Assert that ‘Planets’ ‘Camino’ is not part of the movie ‘The Phantom Menace’","0","1","0","0","0"
"","Verify directors and producers of the movies","Get the 5th movie and assert that ’Producers’ are not ‘Gary Kurtz, George Lucas'","0","0","1","0","0"
"","Verify Movie Information","Sort movies by ""Episode"" and assert the last movie in the list is ‘The Phantom Menace’","0","1","0","0","0"
"","Verify Movie Information","View the movie ‘The Empire Strikes Back’ and check if the ‘Species’ list has ‘Wookie’","0","1","0","0","0"
