"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 18:16:05 GMT 2024","Thu Mar 28 18:16:07 GMT 2024","1685","","Verify directors and producers of the movies","","Get the 5th movie and assert that ’Producers’ are not ‘Gary Kurtz, George Lucas'","","Get the 5th movie and assert that ’Producers’ are not ‘Gary Kurtz, George Lucas'",""
"broken","Thu Mar 28 18:16:09 GMT 2024","Thu Mar 28 18:17:40 GMT 2024","91134","","Verify Movie Information","","Sort movies by ""Title"" and assert the last movie in the list is ‘The Phantom Menace’","","Sort movies by ""Title"" and assert the last movie in the list is ‘The Phantom Menace’",""
"passed","Thu Mar 28 18:15:55 GMT 2024","Thu Mar 28 18:16:05 GMT 2024","10289","","Verify directors and producers of the movies","","Get the 3rd movie and check if the director of the movie is ‘Richard Marquand’","","Get the 3rd movie and check if the director of the movie is ‘Richard Marquand’",""
"broken","Thu Mar 28 18:20:42 GMT 2024","Thu Mar 28 18:22:13 GMT 2024","91125","","Verify Movie Information","","Assert that ‘Planets’ ‘Camino’ is not part of the movie ‘The Phantom Menace’","","Assert that ‘Planets’ ‘Camino’ is not part of the movie ‘The Phantom Menace’",""
"broken","Thu Mar 28 18:17:40 GMT 2024","Thu Mar 28 18:19:11 GMT 2024","91114","","Verify Movie Information","","Sort movies by ""Episode"" and assert the last movie in the list is ‘The Phantom Menace’","","Sort movies by ""Episode"" and assert the last movie in the list is ‘The Phantom Menace’",""
"broken","Thu Mar 28 18:19:11 GMT 2024","Thu Mar 28 18:20:42 GMT 2024","91143","","Verify Movie Information","","View the movie ‘The Empire Strikes Back’ and check if the ‘Species’ list has ‘Wookie’","","View the movie ‘The Empire Strikes Back’ and check if the ‘Species’ list has ‘Wookie’",""
"passed","Thu Mar 28 18:16:07 GMT 2024","Thu Mar 28 18:16:09 GMT 2024","2209","","Get the list of movies.","","Get the list of movies and check if the movies count is 6","","Get the list of movies and check if the movies count is 6",""
