"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 18:52:09 GMT 2024","Thu Mar 28 18:52:11 GMT 2024","2389","","Verify Movie Information","","View the movie ‘The Empire Strikes Back’ and check if the ‘Species’ list has ‘Wookie’","","View the movie ‘The Empire Strikes Back’ and check if the ‘Species’ list has ‘Wookie’",""
"passed","Thu Mar 28 18:52:05 GMT 2024","Thu Mar 28 18:52:06 GMT 2024","1611","","Get the list of movies.","","Get the list of movies and check if the movies count is 6","","Get the list of movies and check if the movies count is 6",""
"passed","Thu Mar 28 18:52:06 GMT 2024","Thu Mar 28 18:52:08 GMT 2024","1400","","Verify Movie Information","","Sort movies by ""Title"" and assert the last movie in the list is ‘The Phantom Menace’","","Sort movies by ""Title"" and assert the last movie in the list is ‘The Phantom Menace’",""
"passed","Thu Mar 28 18:52:03 GMT 2024","Thu Mar 28 18:52:05 GMT 2024","1755","","Verify directors and producers of the movies","","Get the 5th movie and assert that ’Producers’ are not ‘Gary Kurtz, George Lucas'","","Get the 5th movie and assert that ’Producers’ are not ‘Gary Kurtz, George Lucas'",""
"passed","Thu Mar 28 18:52:11 GMT 2024","Thu Mar 28 18:52:13 GMT 2024","2025","","Verify Movie Information","","Assert that ‘Planets’ ‘Camino’ is not part of the movie ‘The Phantom Menace’","","Assert that ‘Planets’ ‘Camino’ is not part of the movie ‘The Phantom Menace’",""
"passed","Thu Mar 28 18:52:08 GMT 2024","Thu Mar 28 18:52:09 GMT 2024","1293","","Verify Movie Information","","Sort movies by ""Episode"" and assert the last movie in the list is ‘The Phantom Menace’","","Sort movies by ""Episode"" and assert the last movie in the list is ‘The Phantom Menace’",""
"passed","Thu Mar 28 18:51:57 GMT 2024","Thu Mar 28 18:52:03 GMT 2024","5952","","Verify directors and producers of the movies","","Get the 3rd movie and check if the director of the movie is ‘Richard Marquand’","","Get the 3rd movie and check if the director of the movie is ‘Richard Marquand’",""
